Date,Comments
"Monday, September 25, 2023 at 10:19 AM",Nan
"Thursday, September 21, 2023 at 9:21 AM","['Radheshyam Yadav please check your inbox', 'Kasri jodn hun xa', 'Ãjąý Šåh please check your inbox']"
"Wednesday, September 20, 2023 at 5:18 PM",Nan
"Monday, September 18, 2023 at 7:23 AM",Nan
"Monday, September 18, 2023 at 7:08 AM",Nan
"Friday, September 15, 2023 at 10:40 AM",Nan
"Thursday, September 14, 2023 at 8:17 AM",Nan
"Friday, September 8, 2023 at 6:14 PM",Nan
"Thursday, September 7, 2023 at 6:06 PM",Nan
"Wednesday, September 6, 2023 at 7:23 AM",Nan
"Monday, September 4, 2023 at 8:30 AM",Nan
"Sunday, September 3, 2023 at 5:48 PM",Nan
"Thursday, August 31, 2023 at 7:54 AM",Nan
"Tuesday, August 29, 2023 at 4:53 PM",Nan
"Thursday, August 24, 2023 at 4:40 PM","['Dowe', 'Sandeep Patel please check your inbox', 'True ho', 'Niraj Pandey please check your inbox', 'के लिनु होला', 'Kiran Limbu please check your inbox me', 'Internet ra dishtv ko kati lagxa installation garda. Internet 100 Mbps ko', 'Stylishness A Ali please check your inbox', 'Siraha ma available xa ki xaina', 'Stylishness A Ali please check your inbox', '75 mbps ko kato ho?', 'Bidari Pawan please check your inbox', 'Renew ko lagi naya pack athawa offer kehi chhaina?', 'Khagendra Prasad please check your inbox', '100 mbps ko barshik katiparxa', 'Tanka Prasad please check your inbox', '50 mbps price', 'Om Dahal please check your inbox', '200mb ko kati parxa', 'Sanjib Kumar Thakur please check your inbox', 'Price', 'Bhumika Rokha please check your inbox', 'Itv sahit 50 mbps kati parxa?', 'Jitendra Chaudhary please check your inbox', '150 Mb ko kati parxa?', 'Ramsewak Pal please check your inbox', '150 Mb kati parxa?', 'विश्व पञ्चाङ्ग निर्णय संघ please check your inbox', '100 Mbps को कति पर्छ?', 'Ramnarayan Chaudhary please check your inbox', 'Nice', 'Mira Timalshena please check your inbox', 'धेरै राम्रो छ छिटो फास्ट सेवा को लागि भरपर्दो net DishHome Fibernet-Timess', 'हाम्रो गाउँ हाम्रो ठाउँ बाट भागेयो पैसा लुटेर fiber net को संचालक', 'मलाई अति मन पर्न net कति फास्ट धेरै राम्रो छ fiber net', 'मिल्छ भने हाम्रो गाउँ हाम्रो घर मा फेरि जोडने चाहाना छ', 'DishHome Fibernet-Times', 'केशब छेत्री please check your inbox', 'Nice', 'Sushant Chy please check your inbox', '150 Mb kati parxa?', 'Tej Prasad Sharma please check your inbox', 'Price', 'Umesh Parki please check your inbox', 'Nice', 'Prahlad Nepal please check your inbox', 'Nice', 'Kiran Bohara please check your inbox', 'Nice', 'Sitesh Karna please check your inbox']"
"Monday, August 21, 2023 at 7:50 AM",Nan
"Thursday, August 17, 2023 at 5:15 PM",Nan
"Sunday, August 13, 2023 at 4:59 PM",Nan
"Saturday, August 12, 2023 at 9:15 AM",Nan
"Wednesday, August 9, 2023 at 5:04 PM",Nan
"Tuesday, August 8, 2023 at 8:05 AM",Nan
"Sunday, August 6, 2023 at 5:16 PM",Nan
"Sunday, August 6, 2023 at 8:07 AM",Nan
"Monday, July 31, 2023 at 7:14 AM",Nan
"Tuesday, July 25, 2023 at 5:40 PM",Nan
"Saturday, July 22, 2023 at 8:58 AM",Nan
"Tuesday, July 18, 2023 at 5:43 PM",Nan
"Friday, July 14, 2023 at 7:42 AM",Nan
"Tuesday, July 11, 2023 at 5:40 PM",[]
"Thursday, July 6, 2023 at 6:17 PM",Nan
"Tuesday, July 4, 2023 at 5:01 PM",Nan
"Monday, July 3, 2023 at 7:22 AM",Nan
"Sunday, July 2, 2023 at 7:10 PM",Nan
"Saturday, July 1, 2023 at 8:02 AM",Nan
"Friday, June 30, 2023 at 7:54 AM",Nan
"Thursday, June 29, 2023 at 7:15 AM",Nan
"Tuesday, June 27, 2023 at 6:32 PM",[]
"Tuesday, June 27, 2023 at 10:27 AM",[]
"Sunday, June 25, 2023 at 12:35 PM",Nan
"Thursday, June 22, 2023 at 6:34 PM",Nan
"Monday, June 19, 2023 at 4:37 PM",Nan
"Wednesday, June 14, 2023 at 4:24 PM",Nan
"Monday, June 12, 2023 at 4:51 PM",Nan
"Saturday, June 10, 2023 at 12:54 PM",Nan
"Thursday, June 8, 2023 at 5:13 PM",Nan
"Wednesday, June 7, 2023 at 5:38 PM",Nan
"Monday, June 5, 2023 at 7:17 PM",Nan
"Sunday, June 4, 2023 at 5:40 PM",Nan
"Friday, June 2, 2023 at 4:08 PM",[]
